date,open,high,low,close,volume
2025-05-21 00:00:00+05:30,966.0,983.55,951.4,961.95,110711
2025-05-22 00:00:00+05:30,961.9,978.9,953.1,971.2,79947
2025-05-23 00:00:00+05:30,976.0,983.0,958.15,972.1,126811
2025-05-26 00:00:00+05:30,972.1,993.7,969.3,989.5,92718
2025-05-27 00:00:00+05:30,990.0,1006.2,986.4,993.05,84212
2025-05-28 00:00:00+05:30,990.6,1004.65,981.15,988.95,48625
2025-05-29 00:00:00+05:30,994.9,1009.4,991.1,1006.55,78557
2025-05-30 00:00:00+05:30,1006.55,1029.0,1001.05,1018.05,139072
2025-06-02 00:00:00+05:30,1010.0,1015.8,990.0,996.0,70556
2025-06-03 00:00:00+05:30,992.1,998.8,962.3,965.7,80542
2025-06-04 00:00:00+05:30,974.5,989.9,966.8,981.4,70494
2025-06-05 00:00:00+05:30,989.0,989.0,970.4,973.4,38038
2025-06-06 00:00:00+05:30,980.8,990.9,975.4,987.6,40498
2025-06-09 00:00:00+05:30,987.4,994.4,979.0,989.8,36206
2025-06-10 00:00:00+05:30,991.5,994.7,978.3,982.7,37436
2025-06-11 00:00:00+05:30,988.9,1002.0,976.0,996.3,70073
2025-06-12 00:00:00+05:30,1005.5,1041.3,986.1,992.6,212635
2025-06-13 00:00:00+05:30,986.7,1004.6,979.1,999.1,47032
2025-06-16 00:00:00+05:30,999.0,1001.0,965.7,971.0,113860
2025-06-17 00:00:00+05:30,968.3,979.6,962.8,969.2,67904
2025-06-18 00:00:00+05:30,969.0,974.2,953.1,958.8,84492
2025-06-19 00:00:00+05:30,954.9,962.3,929.6,933.1,52169
2025-06-20 00:00:00+05:30,929.6,970.0,923.1,934.7,294116
2025-06-23 00:00:00+05:30,940.1,966.0,923.2,939.6,136018
2025-06-24 00:00:00+05:30,942.3,956.5,935.0,946.9,56567
2025-06-25 00:00:00+05:30,946.9,973.9,942.6,971.9,86184
2025-06-26 00:00:00+05:30,977.0,980.0,965.1,974.6,37250
2025-06-27 00:00:00+05:30,969.0,988.5,962.1,968.9,117355
2025-06-30 00:00:00+05:30,989.0,1107.9,988.9,1039.1,15274969
2025-07-01 00:00:00+05:30,1024.8,1051.7,1001.7,1012.1,858973
2025-07-02 00:00:00+05:30,1009.9,1014.4,983.7,988.5,430186
2025-07-03 00:00:00+05:30,998.9,1012.9,980.2,1007.4,422354
2025-07-04 00:00:00+05:30,1010.5,1010.5,993.0,1000.7,108238
2025-07-07 00:00:00+05:30,997.0,1012.3,997.0,1002.3,135196
2025-07-08 00:00:00+05:30,996.0,1006.6,987.7,1000.5,115710
2025-07-09 00:00:00+05:30,999.7,1010.1,983.3,985.6,81170
2025-07-10 00:00:00+05:30,985.2,993.3,975.0,977.1,55040
2025-07-11 00:00:00+05:30,980.0,988.3,971.2,976.6,60016
2025-07-14 00:00:00+05:30,976.0,1039.6,972.3,1030.4,661872
2025-07-15 00:00:00+05:30,1031.5,1044.8,1021.0,1030.5,176493
2025-07-16 00:00:00+05:30,1030.5,1038.0,1010.2,1025.4,86741
2025-07-17 00:00:00+05:30,1026.4,1043.0,1020.0,1036.0,119579
2025-07-18 00:00:00+05:30,1036.0,1044.0,1022.1,1031.4,69064
2025-07-21 00:00:00+05:30,1030.0,1038.0,1022.3,1027.1,42362
2025-07-22 00:00:00+05:30,1027.1,1032.7,1007.6,1016.4,60484
2025-07-23 00:00:00+05:30,1014.9,1030.0,1005.0,1019.6,73232
2025-07-24 00:00:00+05:30,1015.0,1029.0,1015.0,1018.5,44540
2025-07-25 00:00:00+05:30,1010.5,1018.5,990.6,997.5,129726
2025-07-28 00:00:00+05:30,1007.0,1025.1,972.1,1000.4,163273
2025-07-29 00:00:00+05:30,991.8,1023.8,987.6,1013.2,115741
2025-07-30 00:00:00+05:30,1013.2,1026.2,1002.9,1007.6,43275
2025-07-31 00:00:00+05:30,985.0,1004.8,971.0,977.9,54884
2025-08-01 00:00:00+05:30,977.9,978.75,947.6,959.05,79538
2025-08-04 00:00:00+05:30,964.9,974.0,937.7,967.2,49261
2025-08-05 00:00:00+05:30,980.0,997.0,940.0,946.5,457562
2025-08-06 00:00:00+05:30,950.0,955.5,913.4,948.25,155556
2025-08-07 00:00:00+05:30,948.0,954.9,929.55,950.35,54437
2025-08-08 00:00:00+05:30,947.3,950.3,935.0,936.2,32246
2025-08-11 00:00:00+05:30,935.0,959.95,922.55,949.5,45789
2025-08-12 00:00:00+05:30,945.05,955.0,940.2,947.5,31337
2025-08-13 00:00:00+05:30,945.0,953.9,940.0,942.75,25820
2025-08-14 00:00:00+05:30,943.05,979.0,941.6,956.95,201614
2025-08-18 00:00:00+05:30,974.0,986.0,962.15,971.7,76770
2025-08-19 00:00:00+05:30,965.1,999.0,965.1,992.95,138453
2025-08-20 00:00:00+05:30,1002.0,1002.0,978.0,982.25,38827
2025-08-21 00:00:00+05:30,982.0,985.3,965.25,967.9,34188
2025-08-22 00:00:00+05:30,962.1,983.0,956.05,974.6,29523
2025-08-25 00:00:00+05:30,974.9,986.0,969.05,978.05,33219
2025-08-26 00:00:00+05:30,970.0,973.75,930.35,936.5,62166
2025-08-28 00:00:00+05:30,944.9,945.85,920.0,935.4,270719
2025-08-29 00:00:00+05:30,931.1,947.65,929.45,936.95,67309
2025-09-01 00:00:00+05:30,931.0,950.0,926.0,942.7,45819
2025-09-02 00:00:00+05:30,942.7,956.4,931.9,943.95,46736
2025-09-03 00:00:00+05:30,943.95,960.0,943.05,955.75,51440
2025-09-04 00:00:00+05:30,960.0,968.45,950.75,960.1,164662
2025-09-05 00:00:00+05:30,959.3,967.25,943.15,946.5,26976
2025-09-08 00:00:00+05:30,946.5,958.2,937.55,947.3,48747
2025-09-09 00:00:00+05:30,941.9,950.0,934.1,937.75,73236
2025-09-10 00:00:00+05:30,945.95,968.0,935.0,951.95,146685
2025-09-11 00:00:00+05:30,950.2,960.5,941.1,947.15,105930
2025-09-12 00:00:00+05:30,946.0,961.05,935.1,946.5,132179
2025-09-15 00:00:00+05:30,949.5,979.0,947.5,970.1,323398
2025-09-16 00:00:00+05:30,970.45,982.0,960.1,971.1,103389
2025-09-17 00:00:00+05:30,967.0,984.8,963.0,978.1,106592
2025-09-18 00:00:00+05:30,975.1,980.0,952.3,957.35,136654
2025-09-19 00:00:00+05:30,965.0,967.15,943.2,959.0,109710
2025-09-22 00:00:00+05:30,951.5,965.0,944.8,950.0,45282
2025-09-23 00:00:00+05:30,944.0,954.65,938.1,940.05,27542
2025-09-24 00:00:00+05:30,940.05,942.2,915.3,920.2,107656
2025-09-25 00:00:00+05:30,920.2,937.5,915.0,921.9,65174
2025-09-26 00:00:00+05:30,912.7,917.7,885.0,909.9,162629
2025-09-29 00:00:00+05:30,905.0,931.85,885.6,893.65,309430
2025-09-30 00:00:00+05:30,896.0,906.0,890.9,901.35,296749
2025-10-01 00:00:00+05:30,901.35,912.05,895.75,904.3,38869
2025-10-03 00:00:00+05:30,909.0,921.9,905.7,910.4,46164
2025-10-06 00:00:00+05:30,910.0,922.0,904.05,906.35,67670
2025-10-07 00:00:00+05:30,907.0,922.65,906.95,916.7,97141
2025-10-08 00:00:00+05:30,916.45,939.0,915.0,930.65,92156
2025-10-09 00:00:00+05:30,930.2,936.9,926.05,929.95,48486
2025-10-10 00:00:00+05:30,928.1,951.0,928.05,948.35,54910
2025-10-13 00:00:00+05:30,942.0,950.0,939.0,943.7,36047
2025-10-14 00:00:00+05:30,943.7,952.2,910.15,915.9,88703
2025-10-15 00:00:00+05:30,915.9,927.0,910.6,917.65,32949
2025-10-16 00:00:00+05:30,916.0,940.0,913.35,933.4,66916
2025-10-17 00:00:00+05:30,933.4,950.2,930.8,938.6,50349
2025-10-20 00:00:00+05:30,940.25,950.25,927.65,932.0,35968
2025-10-21 00:00:00+05:30,932.0,937.75,930.2,932.8,2859
2025-10-23 00:00:00+05:30,935.05,938.15,918.0,921.55,59977
2025-10-24 00:00:00+05:30,921.8,935.0,909.5,924.6,124980
2025-10-27 00:00:00+05:30,934.6,934.6,912.0,914.9,97588
2025-10-28 00:00:00+05:30,915.0,919.25,903.0,905.6,64662
2025-10-29 00:00:00+05:30,905.9,913.75,898.85,900.8,86965
2025-10-30 00:00:00+05:30,901.0,904.75,890.6,899.95,105565
2025-10-31 00:00:00+05:30,900.0,905.05,890.5,897.4,69233
2025-11-03 00:00:00+05:30,897.4,929.0,897.4,924.2,90497
2025-11-04 00:00:00+05:30,929.95,998.0,927.9,960.7,1596017
2025-11-06 00:00:00+05:30,962.0,962.0,901.85,915.35,337208
2025-11-07 00:00:00+05:30,907.1,928.75,896.35,921.95,148708
2025-11-10 00:00:00+05:30,923.95,931.0,915.7,926.65,52105
2025-11-11 00:00:00+05:30,923.55,929.9,910.0,916.95,38427
2025-11-12 00:00:00+05:30,917.0,925.5,911.95,916.65,58952
2025-11-13 00:00:00+05:30,916.65,930.0,911.0,915.95,68194
2025-11-14 00:00:00+05:30,915.95,919.95,899.0,904.05,34265
2025-11-17 00:00:00+05:30,919.95,955.0,911.0,948.85,273066
2025-11-18 00:00:00+05:30,945.05,945.1,911.1,913.55,131204
2025-11-19 00:00:00+05:30,911.1,918.95,901.4,906.25,63911
2025-11-20 00:00:00+05:30,908.8,911.1,896.0,899.45,56894
2025-11-21 00:00:00+05:30,894.2,958.0,890.65,901.0,4013450
2025-11-24 00:00:00+05:30,903.7,914.5,897.1,903.75,220526
2025-11-25 00:00:00+05:30,885.7,908.4,885.7,905.15,60865
2025-11-26 00:00:00+05:30,906.0,919.6,906.0,914.75,53748
2025-11-27 00:00:00+05:30,919.3,921.0,904.0,905.35,26429
2025-11-28 00:00:00+05:30,905.3,913.8,902.2,907.2,42097
2025-12-01 00:00:00+05:30,909.4,920.0,902.85,907.7,46729
2025-12-02 00:00:00+05:30,907.7,907.85,896.0,900.2,62084
2025-12-03 00:00:00+05:30,900.2,915.9,899.2,909.5,50761
2025-12-04 00:00:00+05:30,892.3,909.0,892.3,901.75,37607
2025-12-05 00:00:00+05:30,897.0,905.0,891.1,899.8,62002
2025-12-08 00:00:00+05:30,899.9,903.95,870.0,880.6,141656
2025-12-09 00:00:00+05:30,880.0,894.2,850.5,886.85,49209
2025-12-10 00:00:00+05:30,886.65,897.15,878.6,883.35,26607
2025-12-11 00:00:00+05:30,883.5,894.5,880.25,885.1,44739
2025-12-12 00:00:00+05:30,885.3,890.65,874.1,876.9,49903
2025-12-15 00:00:00+05:30,875.8,878.85,862.95,864.7,59628
2025-12-16 00:00:00+05:30,864.7,872.3,842.45,847.15,54161
2025-12-17 00:00:00+05:30,847.15,852.8,840.1,847.1,27649
2025-12-18 00:00:00+05:30,847.1,853.0,835.5,848.25,126979
2025-12-19 00:00:00+05:30,854.7,865.4,837.9,859.9,65161
